3					1	2	3	END						Program Outputs													Program Inputs									Inputs								Outputs						
dimension	component	subcomponent	subsub	Variable Name	English Description	Spanish Description	French Description	variable type	Returned to LabVIEW	Basic Client Inputs	Expert Client Inputs	Design Assumptions	Minor Loss Coefficients	FCM	Flocculation	Sedimentation	Entrance Tank	Plant Level Tank	Materials List	Floc Hopper	Rapid Mixer	Elevations	User+BOD+LabVIEW+MLC	has source	comments		FCM	Flocculation	Sedimentation	Entrance Tank	Plant Level Tank	Floc Hopper	Rapid Mix	Materials List		Entrance Tank	Floc Tank	Sed Tank	Plt	Platform	AutoCAD Inputs	is input		Entrance Tank	Floc Tank	Sed Tank	Plt	Platform	AutoCAD Outputs	
H	Sed	Weir	Inlet	H.SedWeirInlet	Height of the weir that regulates the water height in the flocculator	Altura del vertedero que regula la altura del agua en el floculador 		0	1						1													1	1				1																	
H	Sed	Weir	Exit	H.SedWeirExit	Height of the weir that regulates the water height in the sed tank	Altura del vertedero que regula la altura del agua en el tanque de sed.		0	1							1													1																					
H	Sed	Above		H.SedAbove	Height of water needed above the lamella	Altura necesaria del agua sobre la placa de sedimentaci¢n		0	1							1																																		
Pi	Et	HW		Pi.EtHW	Height ratio that will give the desired flow ratio in the entrance tank	Proporci¢n de altura que resultar  en la proporci¢n de flujo deseada en el tanque de entrada 		0				1																																						
B	Sed	Plate	Horizontal	B.SedPlateHorizontal	Horizontal distance between the lamella (takes slant angle into account)	Distancia horizontal entre la l mela (Toma en cuenta el grado de inclinaci¢n) 		0	1							1																																		
ID	Fcm	Tube	English	ID.FcmTubeEnglish	Inner diameter for fcm tube in English units	Di metro interior del tubo fcm en unidades inglesas 		0				1																	1																					
ID	Fcm	Tube	Metric	ID.FcmTubeMetric	Inner diameter for fcm tube in metric units	Di metro interior del tubo fcm en unidades m‚tricas		0				1																																						
ID	Fcm	Tube		ID.FcmTube	Inner diameter of the FCM tube	Di metro interior del tubo FCM 		0						1																																				
D	RM	Pipe		D.RMPipe	inner diameter of the rapid mix pipe	Di metro interior del tubo de mezcla r pida 			1												1																													
D	Sed	Drain	Valve	D.SedDrainValve	Inner diameter of the valve required to drain the sed tank in a given time	Di metro interior de la v lvula necesaria para dre¤ar el tanque de sedimentaci¢n en un momento dado 			1							1																																		
K	Floc	Baffle		K.FlocBaffle	K.P in flocculator	K.P en el floculador 		0	1						1																																			
Nu	Fcm	Alum		Nu.FcmAlum	Kinematic viscosity of the alum coagulant in the flow control module	Viscosidad cinem tica del alumbre coagulante en el m¢dulo de control de flujo		0						1																																				
Nu	Water			Nu.Water	Kinematic viscosity of water	Viscosidad cinem tica del agua		0				1																																						
L	Baffle	Port		L.BafflePort	Length (height) of the drain ports of the baffle	Longitud (altura) de los puertos de drenaje del deflector 		0	1																																									
L	Sed			L.Sed	Length of one sed tank	Longitud de un tanque de sedimentaci¢n		0	1							1	1																																	
L	Ap	Column		L.ApColumn	Length of the alum platform column	Longitud de la plataforma de la columna de alumbre 		0				1																	1																					
L	Cp	Column		L.CpColumn	Length of the chlorine platform column	Longitud de la plataforma de la columna de cloro 		0				1																					1																	
L	Et			L.Et	Length of the entrance tank	Longitud del tanque de entrada		0	1								1																																	
L	Et			L.Et	Length of the entrance tank	Longitud del tanque de entrada		0	1												1																													
L	Et			L.Et	Length of the entrance tank	Longitud del tanque de entrada		0	1								1																																	
L	Exit	Channel		L.ExitChannel	Length of the exit channel	Longitud del canal de salida		0	1							1																																		
L	Floc	Baffles	H	L.FlocBafflesH	Length of the floc baffles in a horizontal flocculator	Longitud de los pantallas superiores de floculaci¢n		3							1														1																					
L	Floc	Baffles	V	L.FlocBafflesV	Length of the floc baffles in a vertical flocculator	Longitud de los pantallas superiores de floculaci¢n		3							1																																			
L	Floc	Entry	Orifice	L.FlocEntryOrifice	Length of the floc entry if the orifice is rectangular	Longitud del ingreso del floculador si el orificio es rectangular 		0													1																													
L	Floc	Hopper		L.FlocHopper	Length of the floc hopper	Longitud de la tolva recolectora de fl¢culos en el tanque de sedimentaci¢n		0												1																														
L	Floc	With	Walls	L.FlocWithWalls	Length of the floc tank including wall thickness	Longitud del tanque de floc incluyendo el grosor de la paredes 		0	1						1														1																					
L	Slot			L.Slot	Length of the floc tank slot into which baffles are slipped	Longitud de la ranura del tanque de floc en la cual se deslizan deflectores 		0	1																				1																					
L	Channel			L.Channel	Length of the inlet channel	Longitud del canal de entrada		0	1							1																																		
L	Inlet	Channel		L.InletChannel	Length of the inlet channel	Longitud del canal de entrada		0																																										
L	Floc	Baffle	Lower	L.FlocBaffleLower	Length of the lower floc baffles	Longitud de las pantallas inferiores de floculaci¢n		0	1						1																		1																	
L	Floc	Baffle	LowerH	L.FlocBaffleLowerH	Length of the lower floc baffles in a horizontal flocculator	Longitud de las pantallas inferiores de floculaci¢n		0							1																																			
L	Floc	Baffle	LowerV	L.FlocBaffleLowerV	Length of the lower floc baffles in a vertical flocculator	Longitud de las pantallas inferiores de floculaci¢n		0							1																		1																	
L	Mp	Column		L.MpColumn	Length of the main platform column	Longitud de la plataforma de la columna principal 		0				1																																						
L	Sed	Manifold	Pipe	L.SedManifoldPipe	Length of the manifold pipe in the sed tank.	Longitud del tubo colector de admisi¢n en el tanque de sed 		0	1																				1																					
L	Et	Orifice	Used	L.EtOrificeUsed	Length of the orifice used in the entrance tank	Longitud del orificio usado en el tanque de entrada 		0													1																													
L	Sed	Module	Pipes	L.SedModulePipes	Length of the pipes that connect the plates within one module.	Longitud de las tuber¡as que conectan las placas dentro de un m¢dulo. 		0								1																																		
L	Plt	Assumed		L.PltAssumed	Length of the plant leveling tank	Longitud de la planta de dep¢sito de nivelaci¢n		0				1																																						
L	Sed	Plate		L.SedPlate	Length of the plate settlers	Longitud de placas sedimentadores		0	1							1																																		
L	Sed	Launder		L.SedLaunder	Length of the sed tank launder	Longitud del tubo perforado de salida		0	1							1																																		
L	Sed	Modified		L.SedModified	Length of the sed tank modified to accommodate for extra spacing at beginning and end of flocculator channel with plastic baffles	Longitud del tanque de sed modificada para dar cabiba a extra espacio al principio y el fin del canal de floc con deflectores pl sticos  		0							1																						1													
Pi	Sed	Port		Pi.SedPort	Length of the sed tank served by one port divided by the port width	Longitud del tanque de sed servido por un puerto dividido por el ancho del puerto		0																										1																
L	Sed	Plate	Sheet	L.SedPlateSheet	Length of the sheets used to make the plate settlers	Longitud de las l minas para elaborar las placas sedimentadoras		0	1	1																																								
L	Floc	Baffle	Upper	L.FlocBaffleUpper	Length of the upper floc baffles	Longitud de los pantallas superiores de floculaci¢n		0	1						1																																			
L	Floc	Baffle	UpperH	L.FlocBaffleUpperH	Length of the upper floc baffles in a horizontal flocculator	Longitud de los pantallas superiores de floculaci¢n		0							1																																			
L	Floc	Baffle	UpperV	L.FlocBaffleUpperV	Length of the upper floc baffles in a vertical flocculator	Longitud de los pantallas superiores de floculaci¢n		0							1																																			
L	Fcm	Tube		L.FcmTube	Length of tube for the flow control module	Longitud de la tuber¡a permitida para el m¢dulo de control de flujo		0				1		1																				1																
Pi	Sed	Cell		Pi.SedCell	Length scale where all of the kinetic energy contained in the flow will be dissipated 	Escala de longitud donde tada la energia cinematica donde toda la energ¡a cin‚tica contenida en el flujo se disipar  		0				1																						1																
K	90			K.90	Loss coefficient for the channel transition in a 90 degree turn	Coeficiente de p‚rdida para la transici¢n del canal en  un giro de 90 grado 		0					1														1																							
HW	Inlet	Channel	Max	HW.InletChannelMax	Maximum allowable height of water in the inlet channel	Profundidad del m xima permitida del agua en el canal de entrada		0			1																																							
N	Floc	Baffles	Max	N.FlocBafflesMax	Maximum allowable number of baffles for a single channel	N£mero m ximo permitido de deflectores para un solo canal		0							1																																			
A	Sed	Manifold	PipeMax	A.SedManifoldPipeMax	Maximum allowed area for the inlet manifold.	M xima  rea permitida para el colector de admi¢n 		0								1																																		
ND	Sed	Manifold	Max	ND.SedManifoldMax	Maximum allowed nominal diameter for an inlet manifold	Di metro nominal m ximo permitido para un colector de admisi¢n		0			1																																							
A	Sed	Manifold	PortsMax	A.SedManifoldPortsMax	Maximum cumulative area of ports	M xima  rea acumulativa de puertos 		0								1																																		
Q	Fcm	Valve	Max	Q.FcmValveMax	Maximum flow rate that can be handled by the FCM valve	Taza m xima de flujo que puede ser manejado por la v lvula FCM		0						1																																				
Q	Alum	Stock	Max	Q.AlumStockMax	Maximum flow rate through the aluminum stock tank	Taza m xima de flujo a trav‚s del tanque de reserva de aluminio		0													1																													
Q	Fcm	Tube	Max	Q.FcmTubeMax	Maximum flow rate through the FCM tube allowed	Taza m xima de flujo a trav‚s del tubo FCM permitido		0						1																																				
Q	Fcm	Max		Q.FcmMax	Maximum flow rate through the floc control module	Taza m xima de flujo a trav‚s del m¢dulo de control de floc		0						1																																				
Q	Fcm	Max	Laminar	Q.FcmMaxLaminar	Maximum flow rate through the floc control module to maintain laminar flow	Taza m xima de flujo a trav‚s del m¢dulo de control de floculaci¢n para mantener el flujo laminar		0						1																																				
HL	Fcm	Tube		HL.FcmTube	Maximum head loss through the flow control module	M xima p‚rdida de carga a trav‚s del m¢dulo de control de flujo		0						1																																				
L	Sed	Max		L.SedMax	Maximum length of the sedimentation tank	Longitud m xima del tanque de sed 		0								1																																		
L	Fcm	Tube	Max	L.FcmTubeMax	Maximum length of tube allowed for the flow control module	Longitud m xima permitida para el m¢dulo de control de flujo		0				1																																						
N	Sed	Manifold	PortsMax	N.SedManifoldPortsMax	Maximum number of ports in the manifold	N£mero m ximo de puertos en el colector		0								1																																		
C	Alum	Dose	Max	C.AlumDoseMax	Maximum required alum dose	M xima dosis requerida de sulfato de aluminio		0				1																																						
V	Sed	Up	Bod	V.SedUpBod	Maximum upflow velocity in sed tank to allow floc blanket formation	Velocidad m xima de flujo ascendente en tanque de sedimentaci¢n que permite la formaci¢n del lecho de fl¢culos 		0	1		1																																							
HW	Et	Max		HW.EtMax	Maximum water level in the entrance tank	Nivel m ximo de agua en el tanque de entrada		0			1						1																																	
B	Sed	Plate	Min	B.SedPlateMin	Min perpendicular spacing between lamella	Espacio perpendicular m¡nimo entre l melas 		0			1																																							
N	Floc	Baffles	Min	N.FlocBafflesMin	Minimum allowable number of baffles for a single channel	N£mero m¡nimo permitido de deflectores para un solo canal 		0							1																																			
S	Floc	Baffle	Min	S.FlocBaffleMin	Minimum allowable spacing between baffles in a channel	Espaciamiento m¡nimo admisible entre deflectores en un canal		0	1						1																																			
S	Floc	Baffle	MinVHumanMin	S.FlocBaffleMinVHumanMin	Minimum allowable spacing between baffles in a channel of a vertical flocculator with rigid baffles	Espacio entre pantallas		0							1																																			
W	Human	Min		W.HumanMin	Minimum human width (for spacing to be large enough for maintenance)	M¡nima anchura humana (para que el espaciamiento sea lo suficientemente grande como para el mantenimiento)		0	1		1																																							
J	Min			J.Min	"Minimum length of flocculator in the direction which water moves (height for vertical, width for horizontal)"	"Longitud m¡nima del floculador en la direcci¢n que se mueve el agua (altura para vertical, anchura para horizontal) "		0							1																																			
N	Sed	Bays	Min	N.SedBaysMin	Minimum number of bays per sed tank	N£mero m¡nimo de bah¡as por tanque sed		0								1												1	1	1			1	1																
H	Floc	Overlap	Min	H.FlocOverlapMin	Minimum overlap between adjacent baffles to prevent short circuiting	Espacio m¡nimo de traslape entre pantallas separadoras adyacentes para prevenir corto circuitos		0							1																																			
Q	Plant	Min		Q.PlantMin	"Minimum plant flow rate for dosing, where surface tension doesn't cause dosing errors"	Caudal de la planta		0	1	0																																								
Pi	JS	Min		Pi.JSMin	Minimum ratio or water depth to baffle spacing in flocculator	Proporci¢n m¡nima de la profundidad del agua a espaciamiento de los deflectores en el floculador 		0			1																																							
S	Elbow			S.Elbow	Minimum space between elbows in the tank	Espacio m¡nimo entre los codos en el tanque		0				1																																						
S	Sed	Module	PipesMin	S.SedModulePipesMin	Minimum space between the module pipes.	El espacio m¡nimo entre las tuber¡as m¢dulo.		0								1																		1																
S	Sed	Plate	ModuleMin	S.SedPlateModuleMin	Minimum spacing between the start of the lower edge of the pate settlers and the origin of the module pipe	El espacio m¡nimo entre el inicio del borde inferior de las placas de sed y el origen de la tuber¡a del m¢dulo		0	1							1																																		
T	Concrete	Min		T.ConcreteMin	Minimum thickness to support concrete structurally	El grosor m¡nimo para apoyar concreto estructural		0	1	1																																								
L	Fcm	Tube	Min	L.FcmTubeMin	Minimum tube length for the flow control module	Longitud m¡nima de la tuber¡a para el m¢dulo de control de flujo		0						1																																				
ED	Diffusion	Min		ED.DiffusionMin	Minimum value of energy dissipation rate for diffusion	Valor m¡nimo de la tasa de disipaci¢n para difusi¢n		0			1																																							
HW	Et	Min		HW.EtMin	Minimum water depth required to keep the entrance tank orifice submerged	Profundidad m¡nima del agua necesaria para mantener el orificio del tanque de entrada sumergido 		0													1																													
HW	Et	Min		HW.EtMin	Minimum water level in the entrance tank	Nivel m¡nimo de agua en el tanque de entrada		0	1			1																																						
W	ExitChannelMin			W.ExitChannelMin	Minimum width of the exit channel to allow person to cap launder	La anchura m¡nima del canal de salida para permitir que una persona tape el lavador 		0								1																1		1																
K	Globe	Valve		K.GlobeValve	minor loss coefficient for  globe valve	Coeficiente de p‚rdida menor para v lvulas de globo 		0					1																																					
K	L	Turn	90	K.LTurn90	Minor loss coefficient for a 90 degree turn	Coeficiente de p‚rdida menor para un giro de 90 grados 		0					1																					1																
K	Floc	Baffle	180	K.FlocBaffle180	Minor loss coefficient for a floc making a 180 degree turn	Coeficiente de p‚rdida menor para un flocculador que hace un giro de 180 grados		0					1																																					
K	Pipe	Exit		K.PipeExit	Minor loss coefficient for flow exiting a pipe	Coeficiente de p‚rdida menor para el flujo que sale de una tuber¡a		0					1																								1													
K	Gate	Valve		K.GateValve	Minor loss coefficient for flow going through a gate valve	Coeficiente de p‚rdida menor para flujo a trav‚s de una v lvula de compuerta 		0					1																																					
K	Angle	Valve		K.AngleValve	Minor loss coefficient for flow through an angle valve	Coeficiente de p‚rdida menor para flujo a trav‚s de la v lvula angular		0					1																																					
K	Rm			K.Rm	minor loss coefficient for the rapid mix	Coeficiente de p‚rdida menor de la mezcla r pida 		0					1																																					
K	Pipe	Ent		K.PipeEnt	Minor loss coefficient for water entering a pipe from a tank	Coeficiente de p‚rdida menor para la entrada de agua de una tuber¡a de un tanque 		0					1																																					
K	Rm	Orifice		K.RmOrifice	Minor loss coefficient for water flowing over a weir prior to orifice mixing	Coeficiente de p‚rdida menor para el flujo de agua sobre el vertedero  ntes del orificio de mezcla 		0					1																																					
K	Sed	Launder		K.SedLaunder	Minor loss coefficient for water going through the sed tank launder	Coeficiente de p‚rdida menor para agua que pasa a trav‚s del lavador del tanque de sed 		0								1																																		
K	Exp			K.Exp	Minor loss coefficient of a jet	Coeficiente de p‚rdida menor de un chorro 		0					1																																					
K	RM	Macro	Orifice	K.RMMacroOrifice	minor loss coefficient through the macro orifice in the rapid mix design	Coeficiente de p‚rdida menor a trav‚s del orificio macro en el dise¤o de mezcla r pida 					1																																							
K	RM	Pipe		K.RMPipe	Minor loss coefficient through the rapid mix pipe	Coeficiente de p‚rdida menor a trav‚s de la tuber¡a de mezcla r pida 			1																																									
MW	Alum			MW.Alum	Molecular weight of alum coagulant	Peso molecular de alumbre coagulante		0						1																																				
MW	Al			MW.Al	Molecular weight of aluminum	Peso molecular del aluminio		0						1																																				
MW	Al203			MW.Al203	Molecular weight of aluminum hydroxide	Peso molecular del hidr¢xido de aluminio		0						1																																				
MW	H			MW.H	Molecular weight of hydrogen	Peso molecular de hidr¢geno		0						1																																				
MW	O			MW.O	Molecular weight of oxygen	Peso molecular de ox¡geno 		0						1																																				
MW	S			MW.S	Molecular weight of sodium	Peso molecular de sodio 		0						1																																				
ND	Floc	Valve		ND.FlocValve	Nominal diameter of the floc valve	Di metro nominal de la v lvula de floc		0	1						1																																			
ND	RM	Pipe		ND.RMPipe	Nominal Diameter of the rapid mix pipe	Di metro nominal del tubo de mezcla r pida			1												1																													
ND	Sed	Drain	Adapter	ND.SedDrainAdapter	Nominal diameter of the sed drain adapter	Di metro nominal del adaptador de drenaje de sed			1							1																																		
ND	Sed	Plate	Frame	ND.SedPlateFrame	Nominal pipe diameter of the sed plate frame	Di metro nominal de la tuber¡a necesaria para apoyar las placas de sedimentaci¢n		0	1	1																																								
ND	Plt	Weir		ND.PltWeir	Nominal pipe diameter of the weir	Nominal di metro de la tuber¡a del vertedero 		0								1																																		
N	Floc	Channel	Baffles	N.FlocChannelBaffles	Number of baffles in each channel	Cantidad de pantallas en cada canal		1	1						1																																			
N	Floc	Channel	BafflesFirst	N.FlocChannelBafflesFirst	Number of baffles in each channel for all channels except last	Cantidad de pantallas en cada canal		0	1						1																																			
N	Floc	Channel	BafflesH	N.FlocChannelBafflesH	Number of baffles in each channel of a horizontal flocculator	Cantidad de pantallas en cada canal		1							1																			1																
N	Floc	Channel	BafflesV	N.FlocChannelBafflesV	Number of baffles in each channel of a vertical flocculator	Cantidad de pantallas en cada canal		1							1																																			
N	Floc	Channel	BafflesLast	N.FlocChannelBafflesLast	Number of baffles in last channel	Cantidad de pantallas en cada canal		0	1						1																																			
N	Sed	Plate	Col	N.SedPlateCol	Number of columns of plate settlers	N£mero de columnas de las placa sedimentaci¢n 		0				1																																						
N	Valve	Couplings		N.ValveCouplings	Number of couplings for sed tank	N£mero de enganches para el tanque de sed		0	1										1																															
N	Sed	Inlet	Chimneys	N.SedInletChimneys	Number of drop chimneys to all sed tanks	N£mero de chimeneas de ca¡da a todos los tanques de sed		0																																										
N	El	Launder		N.ElLaunder	Number of elbows in launder design	N£mero de codos en el dise¤o del lavador		0				1																																						
N	Rm	El		N.RmEl	Number of elbows in rapid mix	N£mero de codos en la mezcla r pida		0				1																																						
N	Floc	Channels		N.FlocChannels	Number of floc channels	Cantidad de canales de floculaci¢n		0	1						1																																			
N	Floc	Channels	H	N.FlocChannelsH	Number of floc channels in a horizontal flocculator	Cantidad de canales de floculaci¢n		0							1																																			
N	Floc	Channels	V	N.FlocChannelsV	Number of floc channels in a vertical flocculator	Cantidad de canales de floculaci¢n		0							1																			1																
N	Floc	Valves		N.FlocValves	Number of floc valves	Cantidad de canales de floculaci¢n		0	1						1																																			
N	Fcm			N.Fcm	Number of flow control modules	N£mero de m¢dulos de control de flujo		0						1																																				
N	Launders			N.Launders	Number of launders 	N£mero de lavadores		0	1										1																															
N	Sed	Launders		N.SedLaunders	Number of launders per sed bay	Cantidad de tubos perforados de salida en cada c mara de sedimentaci¢n		0	1		1																																							
N	Floc	Baffle	LowerV	N.FlocBaffleLowerV	Number of lower floc baffles in each channel for a vertical flocculator	Cantidad total de pantallas de floculaci¢n		0	1						1																																			
N	Sed	Modules		N.SedModules	Number of modules per sed bay	N£mero de m¢dulos por bah¡a de sed		0	1							1																																		
N	Sed	Launder	Orifices	N.SedLaunderOrifices	Number of orifices in each row of the sed tank launder	Cantidad de orificios en cada fila del tubo perforado de salida		0	1							1																		1																
N	Sed	Launder	OrificesEst	N.SedLaunderOrificesEst	Number of orifices in each row of the sed tank launder	Cantidad de orificios en cada fila del tubo perforado de salida		0								1																																		
N	Sed	Sludge	Orifices	N.SedSludgeOrifices	Number of orifices in sludge drain	Cantidad de orificios en el drenaje de lodo		0	1							1																																		
N	Lfom	Orifices	Firstrow	N.LfomOrificesFirstrow	Number of orifices in the first row of the lfom	N£mero de orificios en la primera fila de la lfom		0				1																																						
N	Sed	Inlet	Pipes	N.SedInletPipes	Number of pipes entering each slope pair	N£mero de tubos que entran en cada par de pendientes 		0	1			1																						1																
N	Pipes	Sed	PlateStand	N.PipesSedPlateStand	Number of pipes in the plate settler stand	N£mero de tubos en el soporte de las placas de sedimentaci¢n		0																																										
N	Pipes	Sed	PlateFrame	N.PipesSedPlateFrame	Number of pipes in the sed plate frame	N£mero de tubos en el marco de la placa de sed		0																																										
N	Sed	Plates		N.SedPlates	Number of plate settlers per bay	Cantidad de placas de sedimentaci¢n en cada camera		0	1							1													1			1		1																
N	Sed	Plates	PerSheet	N.SedPlatesPerSheet	Number of plate settlers per one lamella sheet	Cantidad de placas hechos de un pliego		0	1																				1																					
N	Sed	Module	Plates	N.SedModulePlates	Number of plates per module of plate settlers	N£mero de placas por m¢dulo de placas de sedimentaci¢n 		0	1							1													1																					
N	Sed	Ports		N.SedPorts	Number of ports in each sed tank manifold	Cantidad de puertos en cada t£nel de distribuci¢n		0								1																																		
N	Sed	Manifold	Ports	N.SedManifoldPorts	Number of ports in the manifold	N£mero de puertos en el colector		0	1							1																																		
N	Sed	Launder	OrificesRow	N.SedLaunderOrificesRow	Number of rows ofd orifices	Cantidad de orificios en cada fila del tubo perforado de salida		0								1																		1																
N	Sed	Bays		N.SedBays	Number of sed tank bays per sed tank	Cantidad de c maras de sedimentaci¢n en cada tanque de sedimentaci¢n		0	1							1																		1																
N	Sed	Tanks		N.SedTanks	Number of sed tanks	Cantidad de tanques de sedimentaci¢n 		0	1	1																			1																					
N	Sed	Sludge		N.SedSludge	Number of sludge drains	Cantidad de drenajes de lodo		0								1													1																					
N	Floc	Spaces	PerChannelV	N.FlocSpacesPerChannelV	Number of spaces per channel in a vertical flocculator	Cantidad de canales de floculaci¢n		0							1														1																					
N	Floc	Spaces	PerChannelVPlastic	N.FlocSpacesPerChannelVPlastic	Number of spaces per channel in a vertical flocculator with plastic baffles	Cantidad de canales de floculaci¢n		0							1														1					1																
N	Floc	Spaces	PerChannelVHumanMin	N.FlocSpacesPerChannelVHumanMin	Number of spaces per channel in a vertical flocculator with rigid baffles	Cantidad de canales de floculaci¢n		0							1																																			
N	Rm	Tee		N.RmTee	Number of tees in the rapid mix chamber	"N£mero de ""T's"" en la c mara de mezcla r pida"		0				1																																						
N	Fcm	Tube		N.FcmTube	Number of tubes required for the flow control module	N£mero de tubos necesarios para el m¢dulo de control de flujo		0						1																																				
N	Floc	Baffle	UpperV	N.FlocBaffleUpperV	Number of upper floc baffles in each channel for a vertical flocculator	Cantidad total de pantallas de floculaci¢n		1							1																																			
N	Valves			N.Valves	Number of valves for sed tank	N£mero de v lvulas para el tanque de sed		0	1										1																															
Pi	JS	Optimal		Pi.JSOptimal	Optimal ratio or water depth to baffle spacing in flocculator	Proporci¢n ¢ptima de la profundidad del agua a espaciamiento de los deflectores en el floculador 		0			1																																							
S	Floc	Baffle	OptimalVHumanMin	S.FlocBaffleOptimalVHumanMin	Optimal Spacing in a vertical flocculator with rigid baffles	Espacio entre pantallas		0							1																																			
B	Floc	Baffle		B.FlocBaffle	Perpendicular center-to-center distance between baffles	Distancia perpendicular de centro a centro entre pantallas 		1	1						1																			1																
B	Floc	Baffle	First	B.FlocBaffleFirst	Perpendicular center-to-center distance between baffles in all channels except the last	Distancia perpendicular de centro a centro entre pantallas 		0	1						1																																			
B	Floc	Baffle	Last	B.FlocBaffleLast	Perpendicular center-to-center distance between baffles in the last channel	Distancia perpendicular de centro a centro entre pantallas 		0	1						1																			1																
B	Sed	Plate		B.SedPlate	Perpendicular center-to-center distance between lamella	Distancia perpendicular de centro a centro entre placas de sedimentaci¢n		0	1							1																		1																
E	Concrete			E.Concrete	Pipe roughness for flow through a concrete channel	Rugosidad de la tuber¡a para flujo a trav‚s de un canal de concreto 		0				1																						1																
Y	Floc	Baffles		Y.FlocBaffles	Placement of the baffles in the Y position	La colocaci¢n de los deflectores en la posici¢n Y		3							1																																			
Y	Floc	Baffles	H	Y.FlocBafflesH	Placement of the baffles in the Y position for the horizontal flocculator	La colocaci¢n de los deflectores en la posici¢n Y para el floculador horizontal		3							1																																			
Y	Floc	Baffles	V	Y.FlocBafflesV	Placement of the baffles in the Y position for the vertical flocculator	La colocaci¢n de los deflectores en la posici¢n Y para el floculador vertical		3							1														1					1																
Z	Floc	Baffles	H	Z.FlocBafflesH	Placement of the baffles in the Z position for the horizontal flocculator	La colocaci¢n de los bafles en la posici¢n Z para el floculador horizontal		3							1																																			
Z	Floc	Baffles	V	Z.FlocBafflesV	Placement of the baffles in the Z position for the vertical flocculator	La colocaci¢n de los bafles en la posici¢n Z para el floculador vertical		3							1																																			
Q	Plant			Q.Plant	Plant flow rate	Caudal de la planta		0	1	1																								1																
Channels					Range variable for the floc channel	Intervalo variable para el canal de floc 		1							1																																			
Channels	H			Channels.H	Range variable for the floc channels in a horizontal flocculator	Intervalo variable para los canales de floc en un floculador horizontal 		1							1																							1												
Channels	V			Channels.V	Range variable for the floc channels in a vertical flocculator	Intervalo variable para los canales de floc en un floculador vertical 		1							1														1																					
Pi	Sed	Above	W	Pi.SedAboveW	Ratio between the depth of the water between the top of the plate settlers and the effluent launders and the spacing between the effluent launders	Proporci¢n entre la profundidad del agua entre la parte superior de las placas de sed y los lavadores efluentes y el epaciamiento entre los lavadores efluentes 		0				1																																						
Pi	Q	Plant		Pi.QPlant	Ratio between the max and min design flow rates	Proporci¢n entre la m xima y la m¡nima tazas de flujo		0				1																																						
Pi	Plt	Weir		Pi.PltWeir	Ratio between the maximum water depth above the weir and the diameter of the weir	Proporci¢n entre m xima profundida del agua arriva del vertedero y el di metro del vertedero 		0				1																																						
Pi	D	Mix		Pi.DMix	Ratio of diffusion length scale to Kolmogorov length scale (smallest eddies in turbulent flow)	Proporci¢n de la escala de difusi¢n de longitud a la escala de longitud de Kolm¢gorov (remolinos m s peque¤os en flujo turbulento) 		0				1																																						
Pi	Floc	Dissipation		Pi.FlocDissipation	ratio of energy dissipation zone	Zona de proporci¢n de disipaci¢n de energ¡a		0			1																		1																					
Pi	Flow	Manifold		Pi.FlowManifold	Ratio of flow rate through the last port to the first in the manifold	Proporci¢n del caudal a trav‚s del ultimo puerto al primero del t£nel de distribuci¢n		0			1																																							
Pi	Lfom	Orifice	Area	Pi.LfomOrificeArea	Ratio of lfom pipe area to orifice area	Proci¢n del  rea del tubo lfom al  rea del orificio 		0				1																																						
Pi	Floc	Baffle		Pi.FlocBaffle	Ratio of the baffle spacing to the distance between the bottom of a baffle and bottom of the tank	Altura del espacio abajo de las pantallas superiores dividido por el espacio entre pantallas		0			1																		1				1																	
Pi	Launder			Pi.Launder	"Ratio of the flow between the launders, the long path flow divided by the short path flow"	"Proprci¢n del flujo entre los lavadores, el flujo de larga trayectoria divido por el flujo de corta trayectoria "		0			1																																							
Pi	Flow	Launder		Pi.FlowLaunder	Ratio of the flow between the orifices within the launder (farthest orifice over the closest orifice)	Proporci¢n del caudal entre orificios dentro del tubo perforado de salida (el orificio mas lejano sobre el orificio mas cercano)		0			1																																							
Pi	Flow	Sludge		Pi.FlowSludge	Ratio of the flow between the sludge orifices	Proporci¢n del caudal entre orificios del drenaje de lodo		0			1																																							
Pi	Et	Flow		Pi.EtFlow	Ratio of the minimum flow by the maximum flow through the plant	Proporci¢n del flujo m¡nimo por el m ximo flujo a trav‚s de la planta		0				1																																						
Q	Alum	0		Q.Alum0	Required alum flow rate	Calibre de ca¤o		0																																										
D	Sed	Sludge		D.SedSludge	Required diameter of the sludge drain if it were circular	Di metro necesario del drenaje de lodo si fuese circular 		0								1																	1																	
Ti	Floc			Ti.Floc	Residence time in the flocculator	Tiempo de residencia en el floculador		0	1						1																		1																	
Re	Pipe	Transition		Re.PipeTransition	Reynolds number for transition from laminar to turbulent flow in a pipe	N£mero de Reynolds para la transici¢n de laminar a flujo turbulento en una tuber¡a		0				1																					1																	
E	Pvc			E.Pvc	Roughness coefficient for flow through PVC pipe	Coeficiente de rugosidad para flujo a trav‚s de tuber¡a PVC 		0				1										23						1																						
H	Lfom	SF		H.LfomSF	Safety factor for the height of the linear flow orifice meter	Factor de seguridad para la altura del medidor de orificio de flujo lineal 		0	1		1																		1																					
